ID,Total Pop,Deviation,Dem,Rep,Oth,Total VAP,White,Minority,Hispanic,Black,Asian,Native,Pacific
"Un",0,0,0,0,0,0,0,0,0,0,0,0,0,
"1",767871,0,0.2278,0.7618,0.0103,616550,0.8959,0.1041,0.0376,0.0274,0.0108,0.0246,0.0011,
"2",767871,0,0.354,0.6345,0.0115,609512,0.843,0.157,0.0434,0.063,0.0224,0.0252,0.0011,
"3",767871,0,0.3458,0.6444,0.0098,606482,0.799,0.201,0.0478,0.1044,0.0188,0.0284,0.0011,
"4",767871,0,0.4362,0.5368,0.0271,586518,0.6735,0.3265,0.1113,0.1559,0.0374,0.0246,0.0014,
"5",767871,0,0.4387,0.5356,0.0257,586652,0.6362,0.3638,0.0471,0.2787,0.0174,0.0201,0.0018,
"6",767871,0,0.4177,0.5561,0.0262,614497,0.7905,0.2095,0.0548,0.1061,0.0243,0.023,0.0012,
"7",767871,0,0.4172,0.5594,0.0234,593732,0.7491,0.2509,0.0579,0.1437,0.0249,0.0233,0.0021,
"8",767871,0,0.3932,0.5915,0.0154,590123,0.6283,0.3717,0.057,0.2657,0.0309,0.0182,0.0012,
"9",767872,0,0.4467,0.5312,0.0221,580407,0.5823,0.4177,0.056,0.3167,0.0285,0.0179,0.0011,
"",767871,0,0.3855,0.5956,0.0189,598275,0.7351,0.2649,0.0568,0.1606,0.0238,0.0229,0.0013,
